,sync,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,Tilt_(degrees),Tilt_Cosine
0,0,280,4,0,-30,-71,-24,5370,-917,-12,0.022413950649463155,0.9999999234823618
1,4,280,4,0,-30,-71,-24,5375,-865,-12,0.044827901180820404,0.9999996939294604
2,8,280,4,0,-44,-82,-28,5400,-845,-12,0.07074147273641092,0.999999237793096
3,12,360,-12,-5,-44,-82,-28,5410,-835,-12,0.09665508525866304,0.9999985771010692
4,16,360,-12,-5,-77,-104,-34,5385,-845,-12,0.12937594853366477,0.999997450637174
5,20,330,4,-14,-77,-104,-34,5385,-845,-12,0.16209746709501502,0.9999959980016316
6,24,330,4,-14,-142,-132,-39,5385,-870,-12,0.20323846283386046,0.9999937087624032
7,28,330,4,-14,-142,-132,-39,5390,-865,-12,0.24438631565660202,0.9999909034261598
8,32,316,-7,13,-189,-142,-47,5410,-870,-12,0.2891186339435241,0.9999872686052401
9,36,316,-7,13,-189,-142,-47,5385,-840,-12,0.3338513219804916,0.9999830242210536
10,40,317,-1,-4,-211,-121,-54,5355,-860,-12,0.3732918172536541,0.9999787763466585
11,44,317,-1,-4,-211,-121,-54,5355,-860,-12,0.41277163798358674,0.9999740496894955
12,48,317,-1,-4,-236,-128,-59,5385,-860,-12,0.45475792568275086,0.999968501997489
13,52,296,14,-12,-236,-128,-59,5430,-845,-12,0.49677612703624674,0.9999624124989323
14,56,296,14,-12,-262,-144,-65,5370,-800,-12,0.5439294984351049,0.9999549383902474
15,60,312,8,7,-262,-144,-65,5380,-790,-12,0.5911018040642807,0.9999467836042522
16,64,312,8,7,-287,-141,-69,5380,-790,-12,0.6378934564211544,0.9999380249982311
17,68,335,5,0,-287,-141,-69,5375,-845,-12,0.6847113930632291,0.9999285940043026
18,72,335,5,0,-283,-120,-69,5380,-830,-12,0.7257445849137152,0.9999197792826918
19,76,335,5,0,-283,-120,-69,5390,-825,-12,0.7668243506744311,0.9999104408324884
20,80,339,-2,35,-251,-116,-68,5375,-820,-12,0.8067261446947079,0.9999008780519629
21,84,339,-2,35,-251,-116,-68,5375,-820,-12,0.8466634198208248,0.9998908211715902
22,88,370,-1,27,-221,-113,-68,5375,-830,-12,0.8858122840560062,0.9998804913099155
23,92,370,-1,27,-221,-113,-68,5385,-875,-12,0.9249911652089442,0.9998696861798548
24,96,370,-1,27,-205,-100,-62,5390,-815,-12,0.9599140457894405,0.9998596607103031
25,100,320,14,-22,-205,-100,-62,5370,-825,-12,0.9948599747298777,0.9998492567947719
26,104,320,14,-22,-189,-81,-51,5370,-825,-12,1.0232816724306555,0.9998405209693845
27,108,314,11,3,-189,-81,-51,5400,-800,-12,1.0517176714601564,0.9998315345340058
28,112,314,11,3,-160,-72,-44,5370,-835,-12,1.0768309186498501,0.9998233933756685
29,116,314,11,3,-160,-72,-44,5380,-800,-12,1.1019517256250801,0.9998150575991597
30,120,347,7,21,-145,-76,-38,5380,-800,-12,1.1273625944869863,0.9998064300357211
31,124,347,7,21,-145,-76,-38,5390,-820,-12,1.1527736516570375,0.9997976057490378
32,128,333,4,35,-144,-85,-33,5390,-820,-12,1.1799427027968465,0.9997879534416223
33,132,333,4,35,-144,-85,-33,5370,-845,-12,1.2071145638322038,0.9997780752931629
34,136,333,4,35,-167,-87,-26,5315,-845,-12,1.2339124951687537,0.9997681128523691
35,140,383,-3,5,-167,-87,-26,5360,-805,-12,1.260722018989769,0.9997579272560914
36,144,383,-3,5,-220,-96,-21,5360,-805,-12,1.2893261042693869,0.999746818502586
37,148,370,-8,12,-220,-96,-21,5365,-840,-12,1.3179572155096815,0.9997354497270174
38,152,370,-8,12,-311,-113,-20,5450,-830,-12,1.3510920561171353,0.9997219809878842
39,156,373,-6,14,-311,-113,-20,5400,-830,-12,1.3842705884595226,0.9997081594753578
40,160,373,-6,14,-414,-120,-19,5385,-830,-12,1.4192676500797177,0.9996932171058143
41,164,373,-6,14,-414,-120,-19,5405,-830,-12,1.454309893056383,0.9996778817438068
42,168,346,6,8,-495,-127,-18,5405,-830,-12,1.4911829263760321,0.9996613414301313
43,172,346,6,8,-495,-127,-18,5360,-825,-12,1.5281027327027683,0.9996443653233164
44,176,339,-2,24,-596,-129,-26,5375,-830,-12,1.5665615308567977,0.9996262401909102
45,180,339,-2,24,-596,-129,-26,5345,-810,-12,1.6050385503565587,0.9996076557660297
46,184,339,-2,24,-698,-118,-26,5370,-790,-11,1.6405067616582152,0.9995901252931403
47,188,344,15,-4,-698,-118,-26,5370,-790,-11,1.6759788779449474,0.9995722097771049
48,192,344,15,-4,-770,-93,-23,5400,-810,-11,1.7042314298483658,0.9995576664706811
49,196,323,14,-25,-770,-93,-23,5370,-805,-11,1.7324781716284,0.9995428831899426
50,200,323,14,-25,-800,-71,-22,5340,-825,-11,1.7545679543800035,0.9995311529513522
51,204,323,14,-25,-800,-71,-22,5420,-785,-11,1.7766508325270327,0.9995192778779657
52,208,357,8,28,-764,-29,-11,5420,-785,-11,1.7859121286877688,0.9995142534213906
53,212,357,8,28,-764,-29,-11,5405,-772,-11,1.795171446511628,0.9995092039316397
54,216,341,-4,43,-712,20,3,5340,-810,-11,1.7893544278768672,0.9995123792413094
55,220,341,-4,43,-712,20,3,5375,-805,-11,1.7835451726905192,0.9995155400312679
56,224,341,-4,43,-705,28,5,5375,-762,-11,1.7753225572511868,0.9995199963551551
57,228,351,25,13,-705,28,5,5375,-762,-11,1.767110754725584,0.9995244262737445
58,232,351,25,13,-731,0,-14,5375,-762,-11,1.768917283790527,0.9995234534896336
59,236,348,-5,18,-731,0,-14,5345,-772,-11,1.7707462438521104,0.9995224676145826
60,240,348,-5,18,-704,-10,-19,5350,-747,-11,1.7759406257626416,0.9995196621026298
61,244,348,-5,18,-704,-10,-19,5350,-747,-11,1.7811567816171336,0.9995168365636145
62,248,343,8,-5,-704,-12,-17,5405,-815,-11,1.786656642029914,0.9995138483724825
63,2,343,8,-5,-704,-12,-17,5405,-815,-11,1.7921718459607718,0.9995108425965853
64,6,333,10,22,-713,-43,-28,5375,-790,-11,1.8074444664262743,0.9995024707148793
65,10,333,10,22,-713,-43,-28,5385,-777,-11,1.8227237157000729,0.9994940241357089
66,14,338,0,3,-685,-70,-38,5390,-727,-11,1.8465430077025715,0.9994807147304061
67,18,338,0,3,-685,-70,-38,5390,-727,-11,1.8703629559733823,0.9994672322136787
