x,y,z,w
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
-1.853034096131941910e-04,-6.262160593029227843e-05,-7.830674881552059574e-05,9.999999778046166909e-01
-3.706068110006279772e-04,-1.252432090807634516e-04,-1.566134941549445837e-04,9.999999112184677630e-01
-5.846189516620881824e-04,-1.983031350719269390e-04,-2.714617230443865927e-04,9.999997726025147138e-01
-7.986310547155467138e-04,-2.713630483064313347e-04,-3.863099344709445713e-04,9.999995696574920379e-01
-1.070051596073827264e-03,-3.600985902487553020e-04,-5.872942722770329834e-04,9.999991902016844847e-01
-1.341472006952204457e-03,-4.488340882813937030e-04,-7.882785384696589480e-04,9.999986888080210079e-01
-1.685921479595650901e-03,-5.507155009866621098e-04,-1.158928265407857625e-03,9.999977556307200199e-01
-2.030370503097219358e-03,-6.525967669772721365e-04,-1.529577683599045489e-03,9.999965560466644865e-01
-2.400891700734241949e-03,-7.755104263678365244e-04,-2.022873701000774474e-03,9.999947711286344409e-01
-2.771411948247491045e-03,-8.984237788595548406e-04,-2.516168917874769297e-03,9.999925904748012684e-01
-3.087136376210809774e-03,-1.039911373812958369e-03,-3.066778282233238988e-03,9.999899914720630223e-01
-3.402859498691822044e-03,-1.181398529010635814e-03,-3.617386349718394213e-03,9.999869695954762827e-01
-3.736836868813924340e-03,-1.336058184148899899e-03,-4.233222045458789537e-03,9.999831652732248388e-01
-4.070812315479329334e-03,-1.490717151579845808e-03,-4.849055562238855852e-03,9.999788462310690296e-01
-4.446537581080305807e-03,-1.661056415788285043e-03,-5.532751668374009599e-03,9.999734285740292661e-01
-4.822260011325886497e-03,-1.831394620816365624e-03,-6.216444246524297293e-03,9.999673732792763170e-01
-5.190114043051024563e-03,-2.012515119103270092e-03,-6.965314337618272109e-03,9.999602476575222276e-01
-5.557964291295072572e-03,-2.193634150310100166e-03,-7.714179351148466035e-03,9.999523930863354337e-01
-5.871028048946053297e-03,-2.375160689856975656e-03,-8.452469762061737280e-03,9.999442211424929283e-01
-6.184087837193136435e-03,-2.556685623556966425e-03,-9.190754458257561002e-03,9.999353731360499653e-01
-6.486878267535187322e-03,-2.735211940730669124e-03,-9.845510647128269399e-03,9.999267497902423196e-01
-6.789665114955635572e-03,-2.913736747154586568e-03,-1.050026139799146128e-02,9.999175741511736604e-01
-7.084834240898758330e-03,-3.091839067814344290e-03,-1.107669377613618687e-02,9.999087720937077650e-01
-7.380000170185838787e-03,-3.269939993445552303e-03,-1.165312115650977455e-02,9.998995188803911915e-01
-7.641177226719960379e-03,-3.432499881767399862e-03,-1.218778472962718691e-02,9.998906381492600470e-01
-7.902351375150586110e-03,-3.595058463737540923e-03,-1.272244366427877776e-02,9.998813768765744125e-01
-8.113706251296700506e-03,-3.729247400673538389e-03,-1.321537994080412663e-02,9.998727990188108761e-01
-8.325058646780117075e-03,-3.863435197439479395e-03,-1.370831217689480463e-02,9.998639154626306480e-01
-8.512948154602014567e-03,-3.979073495536521177e-03,-1.412562029790925475e-02,9.998560714117968873e-01
-8.700835765038614569e-03,-4.094710906768589571e-03,-1.454292527057324605e-02,9.998480045107621672e-01
-8.899081544512974298e-03,-4.194201926901287326e-03,-1.492126261929260789e-02,9.998402727134496626e-01
-9.097325611814881599e-03,-4.293692140074641984e-03,-1.529959709717920897e-02,9.998323485480861139e-01
-9.318858779077591678e-03,-4.379743171062895797e-03,-1.567553824124343076e-02,9.998241116424715358e-01
-9.540390102312277729e-03,-4.465793335381813486e-03,-1.605147628341153584e-02,9.998156768903474489e-01
-9.766573682907222706e-03,-4.534050320837453366e-03,-1.648762000887971785e-02,9.998060886054989105e-01
-9.992754859642568460e-03,-4.602306190321335533e-03,-1.692375967622834418e-02,9.997962542370654182e-01
-1.024156027028860771e-02,-4.658453813998361670e-03,-1.749842440969080759e-02,9.997835837792452551e-01
-1.049036163084015455e-02,-4.714599595458223401e-03,-1.807308222328262229e-02,9.997705179502239803e-01
-1.078235629904132457e-02,-4.769727319088987519e-03,-1.888540966023769321e-02,9.997521351794690370e-01
-1.107434289650061944e-02,-4.824851472513301716e-03,-1.969772296120408245e-02,9.997330040805009199e-01
-1.138324309643581889e-02,-4.879879476018714191e-03,-2.077887615191195345e-02,9.997073806163335741e-01
-1.169212886246204404e-02,-4.934901291855503525e-03,-2.186000299508385550e-02,9.996804895270080538e-01
-1.201816461088371299e-02,-4.989288959379838302e-03,-2.315254748579230817e-02,9.996472529147387709e-01
-1.234417895455447965e-02,-5.043667740814590170e-03,-2.444505074104362519e-02,9.996122358974633970e-01
-1.267460753805295555e-02,-5.121935991520968831e-03,-2.600076963756454626e-02,9.995684469178234277e-01
-1.300500395989035406e-02,-5.200191245377626913e-03,-2.755642255745160626e-02,9.995221215455164510e-01
-1.330529978214964847e-02,-5.282646224870980560e-03,-2.937791866317326223e-02,9.994658576167523290e-01
-1.360555012702604691e-02,-5.365083148331849065e-03,-3.119931435545984441e-02,9.994061775235841827e-01
-1.383928905672495401e-02,-5.444340461791242168e-03,-3.320813833760772465e-02,9.993378071420547792e-01
-1.407297123199890802e-02,-5.523575448206891059e-03,-3.521682613437878556e-02,9.992653385122451937e-01
-1.424869788945020734e-02,-5.603403678044329740e-03,-3.730331601424984739e-02,9.991866888074603104e-01
-1.442436189711238798e-02,-5.683207270398294916e-03,-3.938964187598396199e-02,9.991036458005064791e-01
-1.448980069670695314e-02,-5.737505126316933858e-03,-4.138171190890001933e-02,9.990218619380576426e-01
-1.455518179411722374e-02,-5.791780133986303668e-03,-4.337361714899270332e-02,9.989360997087011196e-01
-1.449190327463858834e-02,-5.813356932425725598e-03,-4.522957950192408455e-02,9.988545813874679657e-01
-1.442857467532718610e-02,-5.834913641582362490e-03,-4.708538555449004459e-02,9.987696113132492615e-01
-1.434419683876449539e-02,-5.851994486779356526e-03,-4.892273749514487735e-02,9.986824139502800124e-01
-1.425977036279597876e-02,-5.869055488583377507e-03,-5.075992354481884822e-02,9.985918301781746553e-01
-1.425047173184260801e-02,-5.932732136479245029e-03,-5.266441455089693191e-02,9.984929575038713478e-01
-1.424112121487922447e-02,-5.996387183279735730e-03,-5.456871380568479452e-02,9.983904493137364389e-01
-1.425893040004018626e-02,-6.070572669195486992e-03,-5.640244220091449739e-02,9.982878320229526814e-01
-1.427669140554737454e-02,-6.144737643187749530e-03,-5.823598001732370466e-02,9.981818416066426947e-01
-1.429930024568214740e-02,-6.213358692576347389e-03,-6.006942783150968218e-02,9.980724362621360424e-01
-1.432186077247912109e-02,-6.281958748763024486e-03,-6.190267268789293592e-02,9.979596587099037741e-01
-1.442678644942285877e-02,-6.374360776038533703e-03,-6.375925219650303843e-02,9.978406651949909278e-01
-1.453166191257359262e-02,-6.466740616749234484e-03,-6.561560978501311536e-02,9.977181986013861081e-01
-1.470901174180513742e-02,-6.579331909581652080e-03,-6.739892658752369425e-02,9.975959813772569129e-01
-1.488631392434632689e-02,-6.691901890078765132e-03,-6.918202506565994392e-02,9.974705326548016782e-01
-1.523005309636440464e-02,-6.847957814261106460e-03,-7.080898831155689466e-02,9.973501081018388836e-01
-1.557374956298544950e-02,-7.003994536622188891e-03,-7.243575300752494450e-02,9.972268869576838002e-01
-1.606940762779653781e-02,-7.195403252566706653e-03,-7.403404484218514825e-02,9.971002760579448232e-01
-1.656501984849474002e-02,-7.386791440879676707e-03,-7.563212546650159573e-02,9.969708205494516307e-01
-1.718390236979676355e-02,-7.606539966483772189e-03,-7.714442026631156135e-02,9.968428123184005507e-01
-1.780273789782288105e-02,-7.826267690280242287e-03,-7.865650409721887393e-02,9.967120779947363785e-01
-1.856490972631778466e-02,-8.096153504854427391e-03,-8.010079043386547637e-02,9.965809850670186432e-01
-1.932703037334994670e-02,-8.366016999202707111e-03,-8.154485594123352110e-02,9.964471446725310377e-01
-2.021332975770673279e-02,-8.674146297286213642e-03,-8.292640924884200904e-02,9.963128982077934515e-01
-2.109957239956971806e-02,-8.982251245463077072e-03,-8.430772976693391707e-02,9.961758549115031780e-01
-2.211848038536037148e-02,-9.335569394786762468e-03,-8.563945275575096661e-02,9.960368989657024663e-01
-2.313732299330087394e-02,-9.688859950015086750e-03,-8.697092261129611701e-02,9.958949989319720864e-01
-2.428066239654664074e-02,-1.008252368554680631e-02,-8.825800817455914382e-02,9.957506294965495774e-01
-2.542392556754710306e-02,-1.047615576570577051e-02,-8.954481664051654188e-02,9.956031337746604759e-01
-2.669484880244022904e-02,-1.091476458738451123e-02,-9.078971552751916030e-02,9.954523999247021360e-01
-2.796568180560775330e-02,-1.135333651587646167e-02,-9.203430753461551428e-02,9.952983013286662572e-01
-2.935858770289814096e-02,-1.183182283626707694e-02,-9.323962092139152780e-02,9.951404194317994278e-01
-3.075138653402697403e-02,-1.231026600785680054e-02,-9.444459427790388717e-02,9.949789084140088224e-01
-3.226686059170404131e-02,-1.283341117189550247e-02,-9.561009217169558205e-02,9.948129791775778274e-01
-3.378220699328045307e-02,-1.335650556361863556e-02,-9.677521180707208959e-02,9.946431142020175642e-01
-3.541229560162035411e-02,-1.392206317674382458e-02,-9.790076582688875262e-02,9.944684939844170568e-01
-3.704223284334801081e-02,-1.448756128128582746e-02,-9.902590137885383670e-02,9.942896230023752224e-01
-3.878956942085313303e-02,-1.509495998727028269e-02,-1.001140340568897891e-01,9.941049701475108691e-01
-4.053672600514777319e-02,-1.570228864890129902e-02,-1.012017021810089762e-01,9.939157043993402940e-01
-4.239591516242611352e-02,-1.634906360183868701e-02,-1.022523054232160750e-01,9.937201620841356053e-01
-4.425489162337770815e-02,-1.699575653305864312e-02,-1.033023956752050915e-01,9.935196343681564901e-01
-4.622601913359962456e-02,-1.768140051243892105e-02,-1.043127471377114368e-01,9.933123245060251350e-01
-4.819689613398576988e-02,-1.836694867208777532e-02,-1.053225333045327144e-01,9.930996316472191499e-01
