x,y,z,w
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.745329251993443394e-06,9.999999999984768850e-01
-1.745329251990784982e-06,-3.046174197863992805e-12,1.745329251990784982e-06,9.999999999969537701e-01
-1.745329251990784982e-06,-3.046174197863992805e-12,1.745329251990784982e-06,9.999999999969537701e-01
-1.745329251990784982e-06,-3.046174197863992805e-12,1.745329251990784982e-06,9.999999999969537701e-01
-1.745329251990784982e-06,-3.046174197863992805e-12,1.745329251990784982e-06,9.999999999969537701e-01
-5.235987755951088488e-06,-9.138522593554861109e-12,1.745329251969518525e-06,9.999999999847690724e-01
-5.235987755951088488e-06,-9.138522593554861109e-12,1.745329251969518525e-06,9.999999999847690724e-01
-8.726649306008500337e-06,1.745314021117137646e-06,1.745326205750129754e-06,9.999999999588765620e-01
-8.726652352164089528e-06,3.490643273036148655e-06,1.745310974871165593e-06,9.999999999543073281e-01
-1.221731085593299493e-05,3.490637180730286253e-06,1.745323159504157913e-06,9.999999999177532350e-01
-1.396264010776428361e-05,3.490634134561404998e-06,1.745329251812679152e-06,9.999999998949068436e-01
-1.570796935955303598e-05,3.490631088381890514e-06,1.745335344115883777e-06,9.999999998690143332e-01
-1.745329861129394286e-05,3.490628042191743227e-06,1.745341436413771788e-06,9.999999998400755929e-01
-1.919863395525298663e-05,3.490597580407233739e-06,1.827693885493437390e-11,9.999999998096138487e-01
-2.094396320688490069e-05,3.490597580370018076e-06,2.436918091892881772e-11,9.999999997745827596e-01
-2.268929550448366467e-05,5.235893324032594731e-06,-1.745332298183588988e-06,9.999999997273670838e-01
-2.617994486898831590e-05,5.235932924294506288e-06,1.523019046698272279e-11,9.999999996435973149e-01
-2.617995705332092302e-05,6.981170790368211460e-06,-3.490688965197200688e-06,9.999999996268434943e-01
-2.967060337137491605e-05,6.981222575414634921e-06,-1.745335344796403599e-06,9.999999995339350356e-01
-2.967060337137491605e-05,6.981222575414634921e-06,-1.745335344796403599e-06,9.999999995339350356e-01
-3.141592043793522401e-05,6.981274360375992557e-06,6.091008618526566848e-12,9.999999994821500149e-01
-3.141592043793522401e-05,6.981274360375992557e-06,6.091008618526566848e-12,9.999999994821500149e-01
-3.141592043776509236e-05,1.047193286250739354e-05,-1.035712412185975436e-10,9.999999994516883817e-01
-3.141592043776509236e-05,1.047193286250739354e-05,-1.035712412185975436e-10,9.999999994516883817e-01
-3.490656066261737384e-05,1.047198160156570316e-05,1.745262233917504341e-06,9.999999993344109717e-01
-3.665188991339597674e-05,1.047197855549252350e-05,1.745280510970661713e-06,9.999999992719643682e-01
-3.839721916406293393e-05,1.047197550938744458e-05,1.745298788018502682e-06,9.999999992064716459e-01
