sync,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
0,280,4,0,-30,-71,-24,5370,-917,-12
4,280,4,0,-30,-71,-24,5375,-865,-12
8,280,4,0,-44,-82,-28,5400,-845,-12
12,360,-12,-5,-44,-82,-28,5410,-835,-12
16,360,-12,-5,-77,-104,-34,5385,-845,-12
20,330,4,-14,-77,-104,-34,5385,-845,-12
24,330,4,-14,-142,-132,-39,5385,-870,-12
28,330,4,-14,-142,-132,-39,5390,-865,-12
32,316,-7,13,-189,-142,-47,5410,-870,-12
36,316,-7,13,-189,-142,-47,5385,-840,-12
40,317,-1,-4,-211,-121,-54,5355,-860,-12
44,317,-1,-4,-211,-121,-54,5355,-860,-12
48,317,-1,-4,-236,-128,-59,5385,-860,-12
52,296,14,-12,-236,-128,-59,5430,-845,-12
56,296,14,-12,-262,-144,-65,5370,-800,-12
60,312,8,7,-262,-144,-65,5380,-790,-12
64,312,8,7,-287,-141,-69,5380,-790,-12
68,335,5,0,-287,-141,-69,5375,-845,-12
72,335,5,0,-283,-120,-69,5380,-830,-12
76,335,5,0,-283,-120,-69,5390,-825,-12
80,339,-2,35,-251,-116,-68,5375,-820,-12
84,339,-2,35,-251,-116,-68,5375,-820,-12
88,370,-1,27,-221,-113,-68,5375,-830,-12
92,370,-1,27,-221,-113,-68,5385,-875,-12
96,370,-1,27,-205,-100,-62,5390,-815,-12
100,320,14,-22,-205,-100,-62,5370,-825,-12
104,320,14,-22,-189,-81,-51,5370,-825,-12
108,314,11,3,-189,-81,-51,5400,-800,-12
112,314,11,3,-160,-72,-44,5370,-835,-12
116,314,11,3,-160,-72,-44,5380,-800,-12
120,347,7,21,-145,-76,-38,5380,-800,-12
124,347,7,21,-145,-76,-38,5390,-820,-12
128,333,4,35,-144,-85,-33,5390,-820,-12
132,333,4,35,-144,-85,-33,5370,-845,-12
136,333,4,35,-167,-87,-26,5315,-845,-12
140,383,-3,5,-167,-87,-26,5360,-805,-12
144,383,-3,5,-220,-96,-21,5360,-805,-12
148,370,-8,12,-220,-96,-21,5365,-840,-12
152,370,-8,12,-311,-113,-20,5450,-830,-12
156,373,-6,14,-311,-113,-20,5400,-830,-12
160,373,-6,14,-414,-120,-19,5385,-830,-12
164,373,-6,14,-414,-120,-19,5405,-830,-12
168,346,6,8,-495,-127,-18,5405,-830,-12
172,346,6,8,-495,-127,-18,5360,-825,-12
176,339,-2,24,-596,-129,-26,5375,-830,-12
180,339,-2,24,-596,-129,-26,5345,-810,-12
184,339,-2,24,-698,-118,-26,5370,-790,-11
188,344,15,-4,-698,-118,-26,5370,-790,-11
192,344,15,-4,-770,-93,-23,5400,-810,-11
196,323,14,-25,-770,-93,-23,5370,-805,-11
200,323,14,-25,-800,-71,-22,5340,-825,-11
204,323,14,-25,-800,-71,-22,5420,-785,-11
208,357,8,28,-764,-29,-11,5420,-785,-11
212,357,8,28,-764,-29,-11,5405,-772,-11
216,341,-4,43,-712,20,3,5340,-810,-11
220,341,-4,43,-712,20,3,5375,-805,-11
224,341,-4,43,-705,28,5,5375,-762,-11
228,351,25,13,-705,28,5,5375,-762,-11
232,351,25,13,-731,0,-14,5375,-762,-11
236,348,-5,18,-731,0,-14,5345,-772,-11
240,348,-5,18,-704,-10,-19,5350,-747,-11
244,348,-5,18,-704,-10,-19,5350,-747,-11
248,343,8,-5,-704,-12,-17,5405,-815,-11
2,343,8,-5,-704,-12,-17,5405,-815,-11
6,333,10,22,-713,-43,-28,5375,-790,-11
10,333,10,22,-713,-43,-28,5385,-777,-11
14,338,0,3,-685,-70,-38,5390,-727,-11
18,338,0,3,-685,-70,-38,5390,-727,-11
22,338,0,3,-625,-132,-60,5340,-762,-11
26,345,5,12,-625,-132,-60,5390,-777,-11
30,345,5,12,-614,-189,-78,5380,-767,-11
34,337,7,6,-614,-189,-78,5370,-762,-11
38,337,7,6,-581,-235,-93,5365,-747,-11
42,337,7,6,-581,-235,-93,5365,-747,-11
46,336,5,9,-555,-288,-117,5355,-742,-11
50,336,5,9,-555,-288,-117,5345,-702,-11
54,349,2,8,-531,-334,-136,5320,-767,-11
