x,y,z,w
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
-7.830674881552060929e-05,-1.852936014060569834e-04,-6.265062187670074746e-05,9.999999778046165799e-01
-1.566134941549445837e-04,-3.705871945867889234e-04,-1.253012409722923574e-04,9.999999112184674299e-01
-2.714617165797961738e-04,-5.845825533509565759e-04,-1.984103173488204462e-04,9.999997726025341427e-01
-3.863099215417642213e-04,-7.985778745094640517e-04,-2.715193809617946221e-04,9.999995696575314508e-01
-5.872942096994669160e-04,-1.069962762877372207e-03,-3.603640149990981084e-04,9.999991902011587941e-01
-7.882784262437149154e-04,-1.341347520776209378e-03,-4.492086050943506961e-04,9.999986888069302138e-01
-1.158927918481882915e-03,-1.685721614539718426e-03,-5.513453711021912545e-04,9.999977556209810325e-01
-1.529577101973132475e-03,-2.030095259214595525e-03,-6.534819902275712999e-04,9.999965560282774168e-01
-2.022872659910569543e-03,-2.400495571030345290e-03,-7.767612986122489132e-04,9.999947711108793102e-01
-2.516167417320684229e-03,-2.770894932879085486e-03,-9.000402996030629080e-04,9.999925904576781877e-01
-3.066776261644279383e-03,-3.086464131883291748e-03,-1.041875794205283619e-03,9.999899915085911362e-01
-3.617383809095413988e-03,-3.402032025689469361e-03,-1.183710848221067964e-03,9.999869696856557022e-01
-4.233218780315222557e-03,-3.735819782585816061e-03,-1.338782183457121622e-03,9.999831654440858308e-01
-4.849051572576383064e-03,-4.069605616548989391e-03,-1.493852829583736932e-03,9.999788464826115941e-01
-5.532746623947280840e-03,-4.445099243412460426e-03,-1.664706333214524287e-03,9.999734289271561272e-01
-6.216438147336530474e-03,-4.820590035837699593e-03,-1.835558775337566223e-03,9.999673737339872526e-01
-6.965306919376192465e-03,-5.188174617081039303e-03,-2.017230944519675644e-03,9.999602482713884077e-01
-7.714170613857481568e-03,-5.555755416257088589e-03,-2.198901643183976198e-03,9.999523938593561923e-01
-8.452459917853469284e-03,-5.868552857220911412e-03,-2.380891202648071064e-03,9.999442221273036058e-01
-9.190743507138665613e-03,-6.181346330454313975e-03,-2.562879152390879975e-03,9.999353743326501176e-01
-9.845499010922877797e-03,-6.483903853854133294e-03,-2.741802419621840528e-03,9.999267511470676384e-01
-1.050024907670599889e-02,-6.786457795975219844e-03,-2.920724172462872519e-03,9.999175756682232574e-01
-1.107668117912457596e-02,-7.081421760316529423e-03,-3.099166961861732177e-03,9.999087737209073623e-01
-1.165310828377769461e-02,-7.376382529541498229e-03,-3.277608352925717727e-03,9.998995206177402340e-01
-1.218777181724227388e-02,-7.637385611683379302e-03,-3.440447558800559767e-03,9.998906399600618888e-01
-1.272243071224594610e-02,-7.898385787164787300e-03,-3.603285455298943420e-03,9.998813787608280546e-01
-1.321536713649360505e-02,-8.109607965754477704e-03,-3.737682630598843526e-03,9.998728009395194682e-01
-1.370829952031050666e-02,-8.320827664934466253e-03,-3.872078663149722353e-03,9.998639174197935242e-01
-1.412560807512081018e-02,-8.508619824514751864e-03,-3.987873420662116537e-03,9.998560733679462409e-01
-1.454291348158338187e-02,-8.696410087674449202e-03,-4.103667289348189584e-03,9.998480064658977762e-01
-1.492125143290991447e-02,-8.894579611849353848e-03,-4.203307825102074215e-03,9.998402747001788882e-01
-1.529958651340584258e-02,-9.092747424717970844e-03,-4.302947552144651723e-03,9.998323505664087341e-01
-1.567552831095992902e-02,-9.314214941189028971e-03,-4.389164566063265792e-03,9.998241137553200986e-01
-1.605146700661987114e-02,-9.535680614550989462e-03,-4.475380711448226009e-03,9.998156790977215103e-01
-1.648761107727534161e-02,-9.761804055756466078e-03,-4.543834479698577802e-03,9.998060909150136011e-01
-1.692375108981345258e-02,-9.987925094276298502e-03,-4.612287129568984519e-03,9.997962566487202940e-01
