x,y,z,w
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
6.524595329929004206e-05,0.000000000000000000e+00,0.000000000000000000e+00,9.999999978714829707e-01
6.524595316041290527e-05,-4.257034421933136368e-09,6.524595316041290527e-05,9.999999957429657194e-01
6.524595316041290527e-05,-4.257034421933136368e-09,6.524595316041290527e-05,9.999999957429657194e-01
6.524595316041290527e-05,-4.257034421933136368e-09,6.524595316041290527e-05,9.999999957429657194e-01
6.524595316041290527e-05,-4.257034421933136368e-09,6.524595316041290527e-05,9.999999957429657194e-01
6.524595204939583808e-05,-1.277110319331003996e-08,1.957378583702216622e-04,9.999999787148280417e-01
6.524595204939583808e-05,-1.277110319331003996e-08,1.957378583702216622e-04,9.999999787148280417e-01
6.522466451678266225e-05,6.522466451678264870e-05,3.262340165867889702e-04,9.999999425314248791e-01
6.520337892853997298e-05,1.304706139276488603e-04,3.262382715378091811e-04,9.999999361472621251e-01
6.522040373252419422e-05,1.304621043035981466e-04,4.567301667487544794e-04,9.999998850617400903e-01
6.522891571806615954e-05,1.304578486584911934e-04,5.219761115766300471e-04,9.999998531334279850e-01
6.523742742592638440e-05,1.304535924580207051e-04,5.872220541824353223e-04,9.999998169480820431e-01
6.524593885606862936e-05,1.304493357022047878e-04,6.524679942884161398e-04,9.999997765057024868e-01
8.514068825730372547e-09,1.303982501837423964e-04,7.177224411026446012e-04,9.999997339353614567e-01
1.702202694940562736e-08,1.303982493506789604e-04,7.829683755146093051e-04,9.999996849783601149e-01
-6.527574114544155536e-05,1.955888339908944768e-04,8.482270696391340948e-04,9.999996189973894278e-01
-4.297027951135702609e-09,1.956612073140874151e-04,9.787061550015371900e-04,9.999995019253530293e-01
-1.305599930259332463e-04,2.607794122465871729e-04,9.787401905736754087e-04,9.999994785077770398e-01
-6.528005164841323290e-05,2.608688193941710956e-04,1.109215002237101113e-03,9.999993486638142359e-01
-6.528005164841323290e-05,2.608688193941710956e-04,1.109215002237101113e-03,9.999993486638142359e-01
-1.712479434641976638e-08,2.609497063645657006e-04,1.174443887265826840e-03,9.999992762931412260e-01
-1.712479434641976638e-08,2.609497063645657006e-04,1.174443887265826840e-03,9.999992762931412260e-01
-1.703802159167768792e-07,3.914415160257600675e-04,1.174443875031883598e-03,9.999992337272538556e-01
-1.703802159167768792e-07,3.914415160257600675e-04,1.174443875031883598e-03,9.999992337272538556e-01
6.512659248371721154e-05,3.915266758649214884e-04,1.304910128607336857e-03,9.999990698370401221e-01
6.515213787630304190e-05,3.915224257849384448e-04,1.370156018439734093e-03,9.999989825684195699e-01
6.517768299153397810e-05,3.915181740382309714e-04,1.435401902439330073e-03,9.999988910427689559e-01
6.508402868730988125e-05,4.567640541491961061e-04,1.435406151964112916e-03,9.999988633692775686e-01
