x,y,z,w
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
8.726645152351495674e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.999996192282494256e-01
8.726641829491544071e-04,-7.615433561505986196e-07,8.726641829491544071e-04,9.999992384566438464e-01
8.726641829491544071e-04,-7.615433561505986196e-07,8.726641829491544071e-04,9.999992384566438464e-01
8.726641829491544071e-04,-7.615433561505986196e-07,8.726641829491544071e-04,9.999992384566438464e-01
8.726641829491544071e-04,-7.615433561505986196e-07,8.726641829491544071e-04,9.999992384566438464e-01
8.726615246627118750e-04,-2.284627748658662958e-06,2.617989890561021014e-03,9.999961922855391538e-01
8.726615246627118750e-04,-2.284627748658662958e-06,2.617989890561021014e-03,9.999961922855391538e-01
8.688481720831643142e-04,8.688481720831642057e-04,4.364067498004181415e-03,9.999897225074769747e-01
8.650394744027253922e-04,1.741503387682443588e-03,4.364824049259463483e-03,9.999885835266707490e-01
8.680776521344265141e-04,1.739990957289477358e-03,6.110125841657521560e-03,9.999794424061214659e-01
8.695957499602358651e-04,1.739232754186588025e-03,6.982770090446661568e-03,9.999737295521929914e-01
8.711131855510533288e-04,1.738473226582298425e-03,7.855409021552621496e-03,9.999672551747696980e-01
8.726299577512851638e-04,1.737712375055020225e-03,8.728041970422888499e-03,9.999600192787815311e-01
1.523086132352694527e-06,1.728571376278645322e-03,9.602180391650684196e-03,9.999524039525099495e-01
3.031548454534080863e-06,1.728569388944275120e-03,1.047479971526508666e-02,9.999436437167860126e-01
-8.779678513753000173e-04,2.591268979751874119e-03,1.134967633311874044e-02,9.999318473499382298e-01
-8.571410692870757953e-07,2.604223814995841775e-03,1.309260083530193290e-02,9.999108969407994874e-01
-1.757450791028467799e-03,3.453953408440928272e-03,1.309864333524065477e-02,9.999066992051537373e-01
-8.788573489685719536e-04,3.469967808007416634e-03,1.484076644341510674e-02,9.998834625017776201e-01
-8.788573489685719536e-04,3.469967808007416634e-03,1.484076644341510674e-02,9.998834625017776201e-01
-3.277380097162107988e-06,3.484444572737328220e-03,1.571028884046649782e-02,9.998705143466465328e-01
-3.277380097162107988e-06,3.484444572737328220e-03,1.571028884046649782e-02,9.998705143466465328e-01
-3.069698785514985947e-05,5.229541636540634315e-03,1.571025919222986816e-02,9.998629099571999523e-01
-3.069698785514985947e-05,5.229541636540634315e-03,1.571025919222986816e-02,9.998629099571999523e-01
8.509499590510266782e-04,5.244817898713238953e-03,1.745075404118585916e-02,9.998336056328426258e-01
8.555266015023983532e-04,5.244073307801241229e-03,1.832326670520709189e-02,9.998179962706345014e-01
8.601025924330465890e-04,5.243324723299296920e-03,1.919576541526364297e-02,9.998016255035290234e-01
8.433508016095983420e-04,6.115814127640716372e-03,1.919650868707032526e-02,9.997966691438860964e-01
1.715837556097603300e-03,6.132563910859071925e-03,1.919116432361114150e-02,9.997955524872395028e-01
1.715837556097603734e-03,6.132563910859073660e-03,1.919116432361114497e-02,9.997955524872397248e-01
8.266077089644323361e-04,6.988296261154246410e-03,1.919876011522157755e-02,9.997909221657796941e-01
-6.262339716395641282e-05,7.844017967668244148e-03,1.920632666545558920e-02,9.997847690760511830e-01
8.235132130085526378e-04,7.862395744660730101e-03,2.094439687107973666e-02,9.997493869959858115e-01
8.052354674955915659e-04,8.734838565042028768e-03,2.094510754680389483e-02,9.997421450858904324e-01
8.235132130085526378e-04,7.862395744660730101e-03,2.094439687107973666e-02,9.997493869959858115e-01
8.052354674955915659e-04,8.734838565042028768e-03,2.094510754680389483e-02,9.997421450858904324e-01
8.052354674955915659e-04,8.734838565042028768e-03,2.094510754680389483e-02,9.997421450858904324e-01
8.052354674955915659e-04,8.734838565042028768e-03,2.094510754680389483e-02,9.997421450858904324e-01
8.052354674955915659e-04,8.734838565042028768e-03,2.094510754680389483e-02,9.997421450858904324e-01
-6.720433351685417816e-05,8.716557186938377749e-03,2.095272215516064823e-02,9.997424671127426166e-01
-6.720433351685417816e-05,8.716557186938377749e-03,2.095272215516064823e-02,9.997424671127426166e-01
-9.579217776842335582e-04,9.570705353143596494e-03,2.096101552642886182e-02,9.997340245350321286e-01
-9.382502154307021509e-05,9.587392707294922420e-03,2.008021620575113284e-02,9.997523983542484505e-01
-9.382502154307021509e-05,9.587392707294922420e-03,2.008021620575113284e-02,9.997523983542484505e-01
-9.382502154307021509e-05,9.587392707294922420e-03,2.008021620575113284e-02,9.997523983542484505e-01
